model,N,effect,replicate,lambda_emp,lambda_thr97,lambda_p,detect_lambda,eig1_obs,eig1_thr97,eig1_p,detect_pca
cline,100,0.005,0,1.029088557070277,1.0,,1,1.2146365447714982,1.5477320613535541,,0
cline,100,0.005,1,1.0390516138897594,1.0,,1,1.2180153996061789,1.5477320613535541,,0
cline,100,0.005,2,1.0539245225371034,1.0,,1,1.2098173684985443,1.5477320613535541,,0
cline,100,0.005,3,1.0393257105145055,1.0,,1,1.220984893290116,1.5477484158188577,,0
cline,100,0.005,4,1.0038272824907362,1.0,,1,1.2153732201016703,1.5477320613535541,,0
cline,100,0.005,5,1.0175753950319595,1.0,,1,1.2169528576096054,1.5477320613535541,,0
cline,100,0.005,6,1.0169961403768613,1.0,,1,1.2051474088765843,1.5477320613535541,,0
cline,100,0.005,7,1.022154155991232,1.0,,1,1.2200885625814795,1.5477320613535541,,0
cline,100,0.005,8,1.0286454108908112,1.0,,1,1.2159101228721925,1.5477320613535541,,0
cline,100,0.005,9,1.019001281208266,1.0,,1,1.2141951591472975,1.5477320613535541,,0
cline,100,0.005,10,1.0252265842325288,1.0,,1,1.2147406926127287,1.5477320613535541,,0
cline,100,0.005,11,1.023571990587633,1.0,,1,1.2185545315317385,1.5477320613535541,,0
cline,100,0.005,12,1.015041076156825,1.0,,1,1.2131669325551027,1.5477320613535541,,0
cline,100,0.005,13,1.026708883044328,1.0,,1,1.2017927608288548,1.5477320613535541,,0
cline,100,0.005,14,1.0260329730087632,1.0,,1,1.2086945496354211,1.5477320613535541,,0
cline,100,0.005,15,1.0120759903440912,1.0,,1,1.211083430116602,1.5477320613535541,,0
cline,100,0.005,16,1.0323938495086415,1.0,,1,1.224914428159644,1.5477320613535541,,0
cline,100,0.005,17,1.0152808336630734,1.0,,1,1.2026156356795077,1.5477320613535541,,0
cline,100,0.005,18,1.0215428999565388,1.0,,1,1.2176602944319201,1.5477320613535541,,0
cline,100,0.005,19,1.0108417533732714,1.0,,1,1.2051186523340551,1.5477320613535541,,0
cline,100,0.005,20,1.0140354787331114,1.0,,1,1.2051708005074622,1.5477320613535541,,0
cline,100,0.005,21,1.0276099520351787,1.0,,1,1.2147042662409995,1.5477320613535541,,0
cline,100,0.005,22,1.0393910635010217,1.0,,1,1.218462282795236,1.5477320613535541,,0
cline,100,0.005,23,1.0237921380651986,1.0,,1,1.2199494578893268,1.5477320613535541,,0
cline,100,0.005,24,1.0400440022734263,1.0,,1,1.2119918085343442,1.5477320613535541,,0
cline,100,0.005,25,1.0167251203380745,1.0,,1,1.2241442492700187,1.5477320613535541,,0
cline,100,0.005,26,1.0299885171976981,1.0,,1,1.2156824752072193,1.5477320613535541,,0
cline,100,0.005,27,1.0586754056770054,1.0,,1,1.2130553177561234,1.5477320613535541,,0
cline,100,0.005,28,1.005407682006267,1.0,,1,1.207094765562751,1.5477320613535541,,0
cline,100,0.005,29,1.0074208369856419,1.0,,1,1.2215998380030444,1.5477320613535541,,0
