model,N,effect,replicate,lambda_emp,lambda_sd_emp,lambda_mu_perm,lambda_s_perm,lambda_z,lambda_p_one_sided,detect_lambda,eig1_obs,eig1_thr97,eig1_p,detect_pca
cline,100,0.005,0,1.0270402698231407,0.01470433085070396,1.0304702047635632,0.014226508313754898,-0.2279859495977519,0.590171418246591,0,1.2150869360092438,1.5477320613535541,,0
cline,100,0.005,1,1.019480455432579,0.014517609542097513,1.0279376120655341,0.015157447889450023,-0.5672899038084691,0.7147413823438632,0,1.2260238707944795,1.5477320613535541,,0
cline,100,0.005,2,1.0247868338189916,0.018676850273566897,1.025541792594113,0.019506375000244765,-0.03936298750717559,0.5156995056420122,0,1.21176519343212,1.5477320613535541,,0
cline,100,0.005,3,1.0393515460497065,0.014493370024818507,1.0317687397347188,0.02054052536391281,0.49874641668748987,0.3089790201729109,0,1.2203313775648432,1.5477320613535541,,0
cline,100,0.005,4,1.045750631429011,0.017152652542245985,1.0273325353661378,0.015657749794180654,1.0520818119732003,0.14638100800242304,0,1.210922541426164,1.5477320613535541,,0
cline,100,0.01,0,1.0175871480873393,0.01869546934903662,1.02892169731586,0.017627858219021436,-0.5932305800074201,0.723486575023361,0,1.2094803435753674,1.5477320613535541,,0
cline,100,0.01,1,1.0209397769090032,0.015541749340917394,1.0255867315265101,0.01208525128421471,-0.2945783311899836,0.6158419913905049,0,1.2080954034868572,1.5477320613535541,,0
cline,100,0.01,2,1.0424000728893918,0.01592997386623203,1.0284224896038496,0.014452136660225953,0.8599232645313372,0.19491567164503087,0,1.2073584985100754,1.5477320613535541,,0
cline,100,0.01,3,1.0214242076077258,0.017251372207298193,1.020946879364517,0.014043396169102263,0.027221701632766323,0.4891414533593633,0,1.2077886459863454,1.5477320613535541,,0
cline,100,0.01,4,1.0138189552906527,0.01785880622839368,1.0380954681068402,0.019043807494958986,-1.3222880270224104,0.9069638709251766,0,1.2138841415501596,1.5477320613535541,,0
cline,100,0.015,0,1.014754431763494,0.017191677456568823,1.029396155792654,0.010556994156099269,-0.8437579684450919,0.80059766638402,0,1.220652189361073,1.5477320613535541,,0
cline,100,0.015,1,1.0196302239579373,0.017379798124542652,1.0260528852657627,0.02036357384726409,-0.35748203196084527,0.6396345124129872,0,1.224300178681347,1.5477320613535541,,0
cline,100,0.015,2,1.0075910192201614,0.019122227884176227,1.0277709865877096,0.019851490906335957,-1.0279809513145166,0.8480206059114603,0,1.2168072962710343,1.5477320613535541,,0
cline,100,0.015,3,1.025223280330601,0.016655947910937236,1.0309986293169118,0.017997620247189185,-0.33704519385989234,0.6319585842761798,0,1.2231750413587774,1.5477320613535541,,0
cline,100,0.015,4,1.0305801995447097,0.016317568760451488,1.0300407345145022,0.020147556405415833,0.031868093331291286,0.4872886217712239,0,1.2173834638987233,1.5477320613535541,,0
cline,300,0.005,0,0.9877334257421324,0.016798414456757334,1.0084951293807358,0.01861997060205174,-1.1996338207902972,0.8848592072587236,0,1.3990488066310534,1.6543874073835434,,0
