model,N,effect,replicate,lambda_emp,lambda_sd_emp,lambda_mu_perm,lambda_s_perm,lambda_z,lambda_p_one_sided,detect_lambda,eig1_obs,eig1_thr97,eig1_p,detect_pca
cline,100,0.005,0,1.0225586474415949,0.010449845980405296,1.029109574618733,0.010052334246596833,-0.6128741966945234,0.7300202370036556,0,1.1435520783718893,1.4645517162604853,,0
cline,100,0.005,1,1.0275785825583512,0.00974158115238791,1.0281702331046136,0.009173108246443084,-0.05943139921502462,0.523695747852754,0,1.1526470670498759,1.4645517162604853,,0
cline,100,0.005,2,1.0295960594139615,0.011621955700604559,1.0273384815446795,0.013074790674551612,0.1883819407120967,0.4252886277395984,0,1.1529964502836054,1.4645517162604853,,0
cline,100,0.005,3,1.0167653613683996,0.010468726777262786,1.0283000496643646,0.01096467175728951,-1.0727949595687458,0.8583184385877412,0,1.1479124126283515,1.4645517162604853,,0
cline,100,0.005,4,1.0142128319508945,0.009524202989847219,1.0275048896418304,0.010732131440292383,-1.3533106060980329,0.9120217888550815,0,1.1433184901910807,1.4645517162604853,,0
cline,100,0.005,5,1.0271632142662872,0.010574279373147102,1.0245526989101905,0.012165233004187674,0.23908963440458256,0.40551803963607846,0,1.1462385929737107,1.4645517162604853,,0
cline,100,0.005,6,1.0386278177653927,0.011967434276265296,1.031857374070616,0.010617249939609325,0.554924979911324,0.2894729874602825,0,1.1474875422078605,1.4645517162604853,,0
cline,100,0.005,7,1.0359749124034758,0.00987571003257457,1.0265214222125847,0.011738635215334874,0.9251273621897136,0.1774498308202963,0,1.1531386335295912,1.4645517162604853,,0
cline,100,0.005,8,1.0056257007866765,0.010544442701785688,1.0276162341335868,0.01185468140839021,-2.0225770744163682,0.978441615097832,0,1.149718605324463,1.4645517162604853,,0
cline,100,0.005,9,1.0363009876290268,0.009852524217154284,1.0279163349789784,0.009913800275744462,0.8302596531565511,0.20319599722328563,0,1.1485950391334123,1.4645517162604853,,0
cline,100,0.005,10,1.0234692386066488,0.0106715679543763,1.0218844020011952,0.008229262155319729,0.14635042673473284,0.4418223797908639,0,1.1473829575060326,1.4645517162604853,,0
cline,100,0.005,11,1.0295993253874667,0.01010604371725865,1.0266401273339254,0.010305074083379261,0.2854876327386119,0.3876352889967565,0,1.1463180019184522,1.4645517162604853,,0
cline,100,0.005,12,1.035070683099023,0.010451110886547805,1.0275128075504654,0.010350521125930538,0.7060587036890981,0.24007581580125348,0,1.1420514712285033,1.4645517162604853,,0
cline,100,0.005,13,1.0148664685076354,0.011539835245987787,1.0248525015207965,0.011669107098786987,-0.8440455742225953,0.800678030445545,0,1.152198083834321,1.4645517162604853,,0
cline,100,0.005,14,1.0400552565965047,0.01125591935520899,1.024781794736119,0.011821779896308561,1.3209873877511449,0.09325278480012633,0,1.150843889146905,1.4645517162604853,,0
cline,100,0.005,15,1.0279645660109817,0.011158274339025855,1.0276333013538277,0.011605745070214665,0.028916058404668814,0.48846576911117334,0,1.1481181758225587,1.4645517162604853,,0
cline,100,0.005,16,1.0079914384071553,0.011236295885549188,1.0240698518102131,0.010589300000262734,-1.4001836229122755,0.9192708306257731,0,1.1450074838946906,1.4645517162604853,,0
cline,100,0.005,17,1.0313329329352945,0.010798712824081394,1.023168213636538,0.010365205350934426,0.7392472093155813,0.22987844939525592,0,1.1504696696652637,1.4645517162604853,,0
cline,100,0.005,18,1.0176592213530131,0.009486744936270044,1.0269355779043898,0.012257938946212844,-0.9393992752093867,0.8262371074979675,0,1.149924193793866,1.4645517162604853,,0
cline,100,0.005,19,1.0144363094351092,0.010869726676130726,1.0231711261111078,0.011488684810940038,-0.7820467773408434,0.7829064582730174,0,1.148860442879198,1.4645517162604853,,0
cline,100,0.005,20,1.0371533820070322,0.01073045750125008,1.0279907972914213,0.010938833363268617,0.8325301934081496,0.2025548714065013,0,1.1472483489931313,1.4645517162604853,,0
cline,100,0.005,21,1.0185926581208997,0.010755458815391887,1.0295019047519527,0.012493217975332434,-0.9817243383605223,0.8368821641503469,0,1.1561249699675458,1.4645517162604853,,0
cline,100,0.005,22,1.005529416019825,0.011808673483618045,1.0302848628296615,0.0126444979330537,-2.0387532927682748,0.9792626720022584,0,1.1596065884216857,1.4645517162604853,,0
cline,100,0.005,23,1.0373103914641268,0.009625170519363981,1.025635001252707,0.010937731153787591,1.1756459787650166,0.11986818703689694,0,1.1502590166050686,1.4645517162604853,,0
cline,100,0.005,24,1.0234096760617581,0.010490800078296022,1.0293098391930693,0.011013474492769702,-0.5475292116310162,0.707992396385044,0,1.1467797949901992,1.4645517162604853,,0
cline,100,0.005,25,1.0119684322565743,0.010580321426090456,1.031899955640898,0.009057004855656808,-1.8502392844328104,0.9678604653906112,0,1.1433011641562665,1.4645517162604853,,0
cline,100,0.005,26,1.0172219084985132,0.010370186752527532,1.0271405069001864,0.008543220533173669,-0.9406265605616653,0.8265518671364803,0,1.142467605056841,1.4645517162604853,,0
cline,100,0.005,27,1.0363616687284027,0.013037552584010346,1.022995210145859,0.012917957532639194,1.0009549991525695,0.1584242824360571,0,1.1496611173187934,1.4645517162604853,,0
cline,100,0.005,28,1.0126400018561,0.011170354498883628,1.0218155887341644,0.01116123316652429,-0.8016579929150893,0.7886245893416577,0,1.148408044454168,1.4645517162604853,,0
cline,100,0.005,29,1.027179835768585,0.010657110825623248,1.0258763912325957,0.01319738115349216,0.11787190550201193,0.4530845770974764,0,1.1446082228637495,1.4645517162604853,,0
cline,100,0.005,30,1.019772712341207,0.01240392533588338,1.0227195440307173,0.0119301258371037,-0.232261800758374,0.591832660106173,0,1.1535131417467053,1.4645517162604853,,0
cline,100,0.005,31,1.0221477092074063,0.011219717882160715,1.0260046713565953,0.009539721818170097,-0.3377167963403451,0.6322116919789418,0,1.1524713324932292,1.4645517162604853,,0
cline,100,0.005,32,1.0295983705031824,0.010214628354822598,1.0250342495503035,0.008556588763215163,0.4391839776695632,0.3302641168362517,0,1.1465957740051167,1.4645517162604853,,0
cline,100,0.005,33,1.030231581193779,0.009041072096807042,1.027265023251039,0.009985283059887487,0.31854990495975705,0.37503392291237414,0,1.1512087627516594,1.4645517162604853,,0
cline,100,0.005,34,1.0295588078550444,0.010125098283898494,1.023624066703482,0.007686643082005894,0.5778744880248342,0.28167443030886163,0,1.1587379307958259,1.4645517162604853,,0
cline,100,0.005,35,1.0264776623440008,0.01173815956831002,1.0250650379017232,0.012563273439303472,0.11703949551069036,0.45341437782464766,0,1.1431323063974328,1.4645517162604853,,0
cline,100,0.005,36,1.0164972801402437,0.012220975883632489,1.0280427902195897,0.009919918767807113,-0.9295417030889948,0.8236957883163918,0,1.1531065289200597,1.4645517162604853,,0
cline,100,0.005,37,1.0376655290705936,0.009344858979857977,1.031179353951387,0.015184731006862585,0.6523624088036813,0.2570837042819465,0,1.14330941927386,1.4645517162604853,,0
cline,100,0.005,38,1.031016294881384,0.012700425112514159,1.0287889873697207,0.009091604665298908,0.1731682389388845,0.4312595940519204,0,1.1547486862672687,1.4645517162604853,,0
cline,100,0.005,39,1.0256546597703895,0.010996918381343262,1.0231984570432928,0.011586265976270252,0.21740198748751963,0.41394754122428046,0,1.1387408783804882,1.4645517162604853,,0
cline,100,0.005,40,1.0490713363869288,0.01097599654363541,1.0227889319578667,0.008279051874078045,2.3611853510031504,0.00910831163739878,1,1.148656831925994,1.4645517162604853,,0
cline,100,0.005,41,1.0380188465268565,0.011378574344253245,1.0254596912735006,0.011363769906503915,1.0772210207123925,0.14069076820718507,0,1.1467423340033773,1.4645517162604853,,0
cline,100,0.005,42,1.0237360432465774,0.009970704038657418,1.0254615376549094,0.012964431936965198,-0.16617526583478548,0.565990488097534,0,1.1510110569293635,1.4645517162604853,,0
cline,100,0.005,43,1.0265500146990811,0.011047157350811836,1.0284825285968264,0.007356012032020134,-0.17302571387418225,0.5686843921496315,0,1.1421848914793618,1.4645517162604853,,0
