model,N,effect,lambda_detect_rate,pca_detect_rate,lambda_median,eig1_median
cline,100,0.005,0.02,0.0,1.026513838521541,1.1482631101383634
cline,100,0.01,0.06,0.0,1.0296096212437658,1.1496915203454434
cline,100,0.015,0.0,0.0,1.026255410224302,1.1484043553936487
cline,150,0.005,0.02,0.0,1.013953191499178,1.1869777470463483
cline,150,0.01,0.04,0.0,1.0155519911488178,1.1843525317843357
cline,150,0.015,0.06,0.0,1.0158130638165912,1.186242216008218
cline,200,0.005,0.02,0.0,1.0093534309126575,1.217735761901988
cline,200,0.01,0.12,0.0,1.0162895131233247,1.217284557814848
cline,200,0.015,0.06,0.0,1.0100444694547268,1.2187327724925012
cline,300,0.005,0.06,0.0,1.0067224814530347,1.2727146332011086
cline,300,0.01,0.0,0.0,1.0044537571326648,1.2732353752688468
cline,300,0.015,0.06,0.0,1.0082567292231719,1.2729265867445907
