model,N,effect,replicate,lambda_emp,lambda_thr97,lambda_p,detect_lambda,eig1_obs,eig1_thr97,eig1_p,detect_pca
mixture,100,0.002,0,1.052578908114053,1.0,,1,1.2363621421414963,1.5477320613535541,,0
mixture,100,0.002,1,1.016530991726281,1.0,,1,1.267674040125948,1.5477320613535541,,0
mixture,100,0.002,2,1.0152507160381181,1.0,,1,1.2879322176613315,1.5477320613535541,,0
mixture,100,0.002,3,1.0409480152667137,1.0,,1,1.2877842833671054,1.5477320613535541,,0
mixture,100,0.002,4,1.0302428323687414,1.0,,1,1.2670550259239655,1.5477320613535541,,0
mixture,100,0.002,5,1.0212762111905058,1.0,,1,1.259677424107103,1.5477320613535541,,0
mixture,100,0.002,6,1.0334804923503242,1.0,,1,1.2772121992712622,1.5477320613535541,,0
mixture,100,0.002,7,1.022862193428808,1.0,,1,1.2414666795905358,1.5477320613535541,,0
mixture,100,0.002,8,1.034288009612172,1.0,,1,1.27239435455495,1.5477320613535541,,0
mixture,100,0.002,9,1.007270074544189,1.0,,1,1.2704381651642493,1.5477320613535541,,0
mixture,100,0.002,10,1.0130114407501603,1.0,,1,1.2498053062456544,1.5477320613535541,,0
mixture,100,0.002,11,1.0037267552610607,1.0,,1,1.2765057496942556,1.5477320613535541,,0
mixture,100,0.002,12,0.9838473337489695,1.0,,0,1.2531833206228755,1.5477320613535541,,0
mixture,100,0.002,13,1.0055049385403285,1.0,,1,1.287694424501718,1.5477320613535541,,0
mixture,100,0.002,14,1.04008403326987,1.0,,1,1.2642970025593392,1.5477320613535541,,0
mixture,100,0.002,15,1.0243689074493378,1.0,,1,1.2621550996176236,1.5477320613535541,,0
mixture,100,0.002,16,1.0349438355118785,1.0,,1,1.2657232497365598,1.5477320613535541,,0
mixture,100,0.002,17,1.0156097104497888,1.0,,1,1.249648830693269,1.5477320613535541,,0
mixture,100,0.002,18,1.024555362273329,1.0,,1,1.2657363438166993,1.5477320613535541,,0
mixture,100,0.002,19,1.0288253627126691,1.0,,1,1.2324656905570093,1.5477320613535541,,0
mixture,100,0.002,20,1.0346849964286018,1.0,,1,1.2522531483437174,1.5477320613535541,,0
mixture,100,0.002,21,1.005542382367214,1.0,,1,1.2618098825162347,1.5477320613535541,,0
mixture,100,0.002,22,1.0229535584986558,1.0,,1,1.2517570511370733,1.5477320613535541,,0
mixture,100,0.002,23,1.0005983592704188,1.0,,1,1.2744545017791657,1.5477320613535541,,0
mixture,100,0.002,24,1.0335073826797707,1.0,,1,1.2523395537992708,1.5477320613535541,,0
mixture,100,0.002,25,1.0338195919203317,1.0,,1,1.27899404701527,1.5477320613535541,,0
mixture,100,0.002,26,1.0222044446230951,1.0,,1,1.2658139922246283,1.5477320613535541,,0
mixture,100,0.002,27,1.0375929298814037,1.0,,1,1.2626890768205759,1.5477320613535541,,0
mixture,100,0.002,28,1.0169488311359476,1.0,,1,1.241806190035565,1.5477320613535541,,0
mixture,100,0.002,29,1.0209873888697936,1.0,,1,1.2667715591245763,1.5477320613535541,,0
mixture,100,0.002,30,1.0305629256240414,1.0,,1,1.2733898707976854,1.5477320613535541,,0
mixture,100,0.002,31,1.022628757678275,1.0,,1,1.2641977212038422,1.5477320613535541,,0
mixture,100,0.002,32,1.0351796898929013,1.0,,1,1.2551766029789706,1.5477320613535541,,0
mixture,100,0.002,33,1.000023396371953,1.0,,1,1.2737664114963323,1.5477320613535541,,0
mixture,100,0.002,34,1.0559338074547682,1.0,,1,1.2497538965612933,1.5477320613535541,,0
mixture,100,0.002,35,1.0221753149602977,1.0,,1,1.250002437831591,1.5477320613535541,,0
mixture,100,0.002,36,1.014431087386293,1.0,,1,1.2533929906300447,1.5477320613535541,,0
mixture,100,0.002,37,1.066610658797562,1.0,,1,1.2945505322460744,1.5477320613535541,,0
mixture,100,0.002,38,1.0334786300253278,1.0,,1,1.251423375092855,1.5477320613535541,,0
mixture,100,0.002,39,1.0382892729469941,1.0,,1,1.258570982481505,1.5477484158188577,,0
mixture,100,0.002,40,1.0209537659503956,1.0,,1,1.2699842389814977,1.5477320613535541,,0
mixture,100,0.002,41,1.035534208918774,1.0,,1,1.2473987602021048,1.5477320613535541,,0
mixture,100,0.002,42,0.9900733010066194,1.0,,0,1.2632178180700424,1.5477320613535541,,0
mixture,100,0.002,43,1.0412046961911154,1.0,,1,1.2646519100501772,1.5477320613535541,,0
mixture,100,0.002,44,1.0260417549559537,1.0,,1,1.268926353872649,1.5477320613535541,,0
mixture,100,0.002,45,1.0116064494070935,1.0,,1,1.227011010045225,1.5477320613535541,,0
mixture,100,0.002,46,1.036382090716164,1.0,,1,1.277664889366559,1.5477320613535541,,0
mixture,100,0.002,47,1.0071690167588268,1.0,,1,1.288458229653735,1.5477320613535541,,0
mixture,100,0.002,48,1.0095578317832803,1.0,,1,1.284248289368636,1.5477320613535541,,0
mixture,100,0.002,49,1.0388487631243746,1.0,,1,1.245115108042149,1.5477320613535541,,0
mixture,100,0.002,50,1.0092105689185922,1.0,,1,1.2618660261560586,1.5477320613535541,,0
mixture,100,0.002,51,1.0152673780865964,1.0,,1,1.2354915468211065,1.5477320613535541,,0
