model,N,effect,replicate,lambda_emp,lambda_thr97,lambda_p,detect_lambda,eig1_obs,eig1_thr97,eig1_p,detect_pca
mixture,100,0.002,0,1.0083431286190632,1.0,,1,1.2767620160752713,1.5477320613535541,,0
mixture,100,0.002,1,1.0183191997113614,1.0,,1,1.2632799369433043,1.5477320613535541,,0
mixture,100,0.002,2,1.0250977234371097,1.0,,1,1.2629974303900493,1.5477320613535541,,0
mixture,100,0.002,3,1.0267755088351849,1.0,,1,1.2661892569028779,1.5477320613535541,,0
mixture,100,0.002,4,1.04103837861294,1.0,,1,1.260021837127034,1.5477320613535541,,0
mixture,100,0.006,0,1.0059203894207889,1.0,,1,1.6322023225966564,1.5477320613535541,,1
mixture,100,0.006,1,1.0193445382682484,1.0,,1,1.6362809426594396,1.5477320613535541,,1
mixture,100,0.006,2,1.045261462143036,1.0,,1,1.6303156231089826,1.5477320613535541,,1
mixture,100,0.006,3,1.0300159623511567,1.0,,1,1.5869762921184845,1.5477320613535541,,1
mixture,100,0.006,4,1.0298007046819602,1.0,,1,1.6033652868239106,1.5477320613535541,,1
mixture,100,0.01,0,1.028936948766981,1.0,,1,1.979404834676292,1.5477320613535541,,1
mixture,100,0.01,1,1.0411851035339548,1.0,,1,2.0110146847355974,1.5477320613535541,,1
mixture,100,0.01,2,0.9949941791456665,1.0,,0,1.9528496655906002,1.5477320613535541,,1
mixture,100,0.01,3,1.034120613022721,1.0,,1,1.9888707700521078,1.5477320613535541,,1
mixture,100,0.01,4,1.0278121423062807,1.0,,1,2.0012538607769983,1.5477320613535541,,1
mixture,300,0.002,0,1.0136248401299317,1.0,,1,1.6654013435109953,1.6543874073835434,,1
mixture,300,0.002,1,1.0212886462852606,1.0,,1,1.640004802943206,1.6543874073835434,,0
mixture,300,0.002,2,1.0049528753916532,1.0,,1,1.6922958811685458,1.6543874073835434,,1
mixture,300,0.002,3,0.9886774377556503,1.0,,0,1.7004889038461255,1.6543874073835434,,1
mixture,300,0.002,4,0.9710581690697905,1.0,,0,1.6807602438656648,1.6543874073835434,,1
mixture,300,0.006,0,1.035726317294987,1.0,,1,2.8269537937631934,1.6543874073835434,,1
mixture,300,0.006,1,1.0171999177826598,1.0,,1,2.8017746030334485,1.6543874073835434,,1
mixture,300,0.006,2,1.0561021192160678,1.0,,1,2.828393531467185,1.6543874073835434,,1
mixture,300,0.006,3,0.9958745924058873,1.0,,0,2.8361082814858505,1.6543874073835434,,1
mixture,300,0.006,4,0.9853893854121718,1.0,,0,2.8359484831401574,1.6543874073835434,,1
mixture,300,0.01,0,1.0346297975602892,1.0,,1,3.997552275063266,1.6543874073835434,,1
mixture,300,0.01,1,1.0551353549806235,1.0,,1,3.945809075642913,1.6543874073835434,,1
mixture,300,0.01,2,1.0505491929092385,1.0,,1,3.972959243253441,1.6543874073835434,,1
mixture,300,0.01,3,1.0462291108794497,1.0,,1,4.037069500999854,1.6543874073835434,,1
mixture,300,0.01,4,1.0578063421813697,1.0,,1,4.088205296513475,1.6543874073835434,,1
mixture,1000,0.002,0,1.0065272436788437,1.0,,1,3.2347602639517374,1.9934488264949979,,1
mixture,1000,0.002,1,1.0117025304559937,1.0,,1,3.1465558494028185,1.9934488264949979,,1
mixture,1000,0.002,2,1.0278223883462716,1.0,,1,3.1396881954258564,1.9934488264949979,,1
mixture,1000,0.002,3,1.0053595623025162,1.0,,1,3.1536444122790215,1.9934488264949979,,1
mixture,1000,0.002,4,0.9976959497066616,1.0,,0,3.1643013508165865,1.9934488264949979,,1
mixture,1000,0.006,0,1.0234821243436913,1.0,,1,7.1274306404244765,1.9934488264949979,,1
mixture,1000,0.006,1,1.0439165049023722,1.0,,1,7.17604250741271,1.9934488264949979,,1
mixture,1000,0.006,2,1.0524507807013337,1.0,,1,7.143432867396449,1.9934488264949979,,1
mixture,1000,0.006,3,1.0538826351024784,1.0,,1,7.037023728727602,1.9934488264949979,,1
mixture,1000,0.006,4,1.0223454464981374,1.0,,1,7.094452543406777,1.9934488264949979,,1
mixture,1000,0.01,0,1.085914931809386,1.0,,1,11.074215825101724,1.9934488264949979,,1
mixture,1000,0.01,1,1.0997547518339446,1.0,,1,10.969565134346938,1.9934488264949979,,1
mixture,1000,0.01,2,1.096267747593708,1.0,,1,11.016114803621875,1.9934488264949979,,1
mixture,1000,0.01,3,1.0957377888316822,1.0,,1,11.014912414971922,1.9934488264949979,,1
mixture,1000,0.01,4,1.1059208620983727,1.0,,1,10.96863071749059,1.9934488264949979,,1
