model,N,effect,replicate,lambda_emp,lambda_sd_emp,lambda_mu_perm,lambda_s_perm,lambda_z,lambda_p_one_sided,detect_lambda,eig1_obs,eig1_thr97,eig1_p,detect_pca
mixture,100,0.002,0,1.0296778319284328,0.018784037073594263,1.0307321908419178,0.013830374197106546,-0.05538497651021477,0.522084117763107,0,1.2553274474198388,1.5477320613535541,,0
mixture,100,0.002,1,1.008754852180427,0.01724375867899579,1.0313009554453347,0.017306379625577448,-1.2757620536490393,0.8989801773680138,0,1.237239098260434,1.5477320613535541,,0
mixture,100,0.002,2,1.0016816748097095,0.015588319108976387,1.035696945227429,0.017491875886618942,-2.116492758137933,0.9828485397615526,0,1.2774931310225337,1.5477320613535541,,0
mixture,100,0.002,3,1.0316833608249496,0.016212165623571712,1.0272293765949059,0.01866175058155852,0.26605897231028197,0.39509689591285835,0,1.2605947493910343,1.5477320613535541,,0
mixture,100,0.002,4,1.0188788369061619,0.018201550598448094,1.0296476779253843,0.013517614349798377,-0.5836510967647311,0.7202724624061322,0,1.2450387455395862,1.5477320613535541,,0
mixture,100,0.006,0,0.9940311715904104,0.014487689629655662,1.0278607076657698,0.015972951967623942,-2.26717361984076,0.9883101891629205,0,1.6025657662703547,1.5477320613535541,,1
mixture,100,0.006,1,1.0630480827582445,0.017245108855343774,1.027231501960975,0.019537249585158126,2.0133147951293227,0.022040761431859623,1,1.5896580623192431,1.5477320613535541,,1
mixture,100,0.006,2,1.0406568779367675,0.017086010682893473,1.0269847509847567,0.0163728188649056,0.7824338493397541,0.216979823666676,0,1.6002081796567875,1.5477320613535541,,1
mixture,100,0.006,3,1.0366274091723808,0.018661811856463678,1.029057137851304,0.01714641548788784,0.39735634064724423,0.3455523530001757,0,1.6626094969677603,1.5477320613535541,,1
mixture,100,0.006,4,1.017926936011785,0.019482852655061923,1.0248379039218123,0.01547424302568458,-0.3492552608285779,0.6365511585919008,0,1.578731534553851,1.5477320613535541,,1
mixture,100,0.01,0,1.032741222823156,0.016038717385565362,1.028855250912772,0.018144398729165935,0.23488816502767323,0.40714776778164274,0,2.011248358412435,1.5477320613535541,,1
mixture,100,0.01,1,1.0246834074777846,0.012912766702129035,1.0303588083006399,0.013394544893433528,-0.42815203084865683,0.6657297811563261,0,1.9689177333051684,1.5477320613535541,,1
mixture,100,0.01,2,1.016429575569874,0.016936988302433235,1.0267102941280732,0.013248063135018924,-0.5979212387272268,0.7250537561861086,0,1.998752805540596,1.5477320613535541,,1
mixture,100,0.01,3,1.0405829833544156,0.01551412492959197,1.0275439870168965,0.013110349549804385,0.8258450785403842,0.2044459894479107,0,2.026076270176783,1.5477320613535541,,1
mixture,100,0.01,4,1.0296943372111567,0.01639729465192087,1.0217942810469953,0.016511459469007082,0.4700227592731263,0.31916937863729555,0,1.9549732899573702,1.5477320613535541,,1
mixture,300,0.002,0,0.960542202078069,0.01499147440004249,1.007672366368919,0.018298425188873434,-3.0328647541297102,0.9987887792912098,0,1.6973159214753708,1.6543874073835434,,1
mixture,300,0.002,1,1.00131438216572,0.01717429239946518,1.0091496698064593,0.015879182773689174,-0.4467734703759028,0.6724806859147793,0,1.703340930297591,1.6543874073835434,,1
mixture,300,0.002,2,1.0038696654171597,0.015790876635873273,1.0092718726881889,0.015009431534527539,-0.3346345345327727,0.6310496047108282,0,1.7034061557545823,1.6543874073835434,,1
mixture,300,0.002,3,0.9996907824834507,0.016109102566116595,1.0076095932492595,0.018362443077702604,-0.4763439816385537,0.6830853317319197,0,1.689487862497972,1.6543874073835434,,1
mixture,300,0.002,4,0.9926563183191431,0.013592392438630547,1.0038108729566542,0.014992845972556868,-0.7967693428293954,0.7872074984917936,0,1.6665941960156547,1.6543874073835434,,1
mixture,300,0.006,0,1.0392393250600935,0.017798348849453346,1.0159457205953613,0.012793953755826726,1.2921653137265026,0.09814995052285724,0,2.842766959364464,1.6543874073835434,,1
mixture,300,0.006,1,1.009761682073945,0.015955899685058294,1.008461753348123,0.019372843104721513,0.07862400567838618,0.4686658464362369,0,2.7977076212943146,1.6543874073835434,,1
mixture,300,0.006,2,1.0454057942923098,0.016835664038524517,1.0054618398149957,0.012783436231752297,2.33910413667378,0.00966502232435762,1,2.816350410087035,1.6543874073835434,,1
mixture,300,0.006,3,1.0043924129256698,0.014447726591543732,1.0062813787344322,0.01293839313859219,-0.128199779854082,0.5510045628580851,0,2.861043768890632,1.6543874073835434,,1
mixture,300,0.006,4,1.0091928407530109,0.018433733928466825,1.0026341644540406,0.017831451176463002,0.3477554227086563,0.36401193500387696,0,2.7874852809530095,1.6543874073835434,,1
mixture,300,0.01,0,1.0317360065734646,0.013846498584199353,1.0091402602937944,0.019483389146246075,1.5566414958652115,0.059777812981409606,0,4.01791465143182,1.6543874073835434,,1
mixture,300,0.01,1,1.0267543472818017,0.012599158599151344,1.0078672879733177,0.019851978054269238,1.413883260943491,0.07869809076543954,0,4.027220016910668,1.6543874073835434,,1
mixture,300,0.01,2,1.061241714271945,0.01700211786771616,1.010426631613104,0.01994754707299927,2.8909222860502437,0.0019205654634303349,1,3.998996219070259,1.6543874073835434,,1
mixture,300,0.01,3,1.0207604007544142,0.01731975377500238,1.0029222706017291,0.014616361305607945,1.0120678172143118,0.15575281439609,0,4.04664557608912,1.6543874073835434,,1
mixture,300,0.01,4,1.021511051965314,0.017567852321787945,1.004480347207769,0.02346366413952079,0.9288846607671833,0.176474431617346,0,3.9509456953794047,1.6543874073835434,,1
mixture,1000,0.002,0,1.0201152205456077,0.017628333335972485,1.003820033230314,0.018550590768648366,0.8998000922418165,0.1841133226376026,0,3.1641114036143954,1.9934488264949979,,1
mixture,1000,0.002,1,1.0157661320509395,0.01718747866190667,1.0040158591004709,0.013956125077739098,0.6726553863216076,0.25058327829701377,0,3.105035220977956,1.9934488264949979,,1
mixture,1000,0.002,2,1.022139872777169,0.014745637319407182,1.005120714144653,0.01741056583559404,1.115943921107009,0.13222306991474508,0,3.1343593322873726,1.9934488264949979,,1
mixture,1000,0.002,3,0.9823253763354515,0.01885958381776155,0.9974201236173442,0.014841914569934268,-0.7882637626616078,0.7847287803681017,0,3.1377140314608924,1.9934488264949979,,1
mixture,1000,0.002,4,0.9818845943211895,0.018990716626607992,1.0047510297514664,0.016478167227745408,-1.1820415880398725,0.8814054001839937,0,3.1634700299539977,1.9934488264949979,,1
mixture,1000,0.006,0,1.0295576628262482,0.017017906379061663,0.9992886127893692,0.01805047723256362,1.7306488766327104,0.04175720428854268,1,7.156120361414537,1.9934488264949979,,1
mixture,1000,0.006,1,1.0268827762403288,0.018518624908423695,0.998186923894254,0.015135874762787094,1.5243188629422217,0.06371453867982346,0,7.146957630325282,1.9934488264949979,,1
mixture,1000,0.006,2,1.0164136574813416,0.017604288412063636,1.003463547273719,0.020906303009961266,0.7109816833848029,0.23854779316036012,0,7.066688952859854,1.9934488264949979,,1
mixture,1000,0.006,3,1.0370538138827687,0.016839922272861914,1.0038133776791807,0.014195876295604416,1.9397464347802935,0.02620525666403395,1,7.032185340071096,1.9934488264949979,,1
mixture,1000,0.006,4,1.0392477915089287,0.018659617915245754,1.0009750937521131,0.019846730935161306,1.995438565000659,0.022997534169783784,1,7.048552255645513,1.9934488264949979,,1
mixture,1000,0.01,0,1.109678691240895,0.01752334597613624,0.9973349266348841,0.013731350800005817,6.314884919872131,1.3518131058987137e-10,1,11.032824752537824,1.9934488264949979,,1
mixture,1000,0.01,1,1.1091868032417902,0.016166531785912434,1.000922411509043,0.016328861569007674,6.532291113674806,3.2385538695223204e-11,1,11.11932032922646,1.9934488264949979,,1
mixture,1000,0.01,2,1.1050481782289039,0.019541225838984634,1.0055178836082952,0.01357476144315048,5.032992160661115,2.4144144006310597e-07,1,11.04355268378193,1.9934488264949979,,1
mixture,1000,0.01,3,1.1202561460537919,0.019088132562160708,0.9932789679986698,0.017817191920470304,6.511826367047825,3.712130602906427e-11,1,10.922530999262342,1.9934488264949979,,1
mixture,1000,0.01,4,1.0876945872226218,0.015724038250493694,0.9994858012645638,0.015098049505070215,5.484809344748702,2.0695778979451518e-08,1,11.078373767988975,1.9934488264949979,,1
