model,N,effect,replicate,lambda_emp,lambda_sd_emp,lambda_mu_perm,lambda_s_perm,lambda_z,lambda_p_one_sided,detect_lambda,eig1_obs,eig1_thr97,eig1_p,detect_pca
mixture,100,0.002,0,1.0252501735607953,0.010277833662328198,1.0261798807258642,0.011708115540605187,-0.08765836063569346,0.5349258922143649,0,1.2450016110968647,1.495356200082903,,0
mixture,100,0.002,1,1.017625960151502,0.009525910716287847,1.031294366314643,0.010285783455807994,-1.394787301206566,0.9184600053000382,0,1.2267895552585477,1.495356200082903,,0
mixture,100,0.002,2,1.0223950887952629,0.011005370650021391,1.0294067990586782,0.011241193600939507,-0.6211224210495051,0.7327404609282158,0,1.2242936981206882,1.495356200082903,,0
mixture,100,0.002,3,1.0347133343532096,0.011809872478141432,1.028920710944563,0.011620696009698164,0.47903175814726323,0.3159580179430801,0,1.243315130556398,1.495356200082903,,0
mixture,100,0.002,4,1.0285650411882667,0.011838682252303343,1.0321672375169653,0.011062859951540509,-0.2978408035497713,0.617087664842336,0,1.212301361304259,1.495356200082903,,0
mixture,100,0.002,5,1.0397112982117223,0.011166051178022168,1.0243019387811698,0.010633679638012337,1.3497550578162454,0.08854728257532662,0,1.2561048189341584,1.495356200082903,,0
mixture,100,0.002,6,1.0271731640884174,0.00988693996539952,1.0229033912456866,0.01090979044405301,0.41928528096527057,0.3375038261975223,0,1.233489401526275,1.495356200082903,,0
mixture,100,0.002,7,1.025342062520194,0.011496421921354567,1.0306559687398456,0.013048494122656079,-0.4480189173728489,0.6729302280179082,0,1.246413288145011,1.495356200082903,,0
mixture,100,0.002,8,1.0379103373558267,0.010247766727176326,1.0304616407681757,0.009322722710197292,0.7122727116140439,0.23814795932260302,0,1.2381448602091965,1.495356200082903,,0
mixture,100,0.002,9,1.0347525354239167,0.009951344436199928,1.0240393758253812,0.011084306479099564,1.0446403306492604,0.14809461612221875,0,1.2628718161473704,1.495356200082903,,0
