model,N,effect,lambda_detect_rate,pca_detect_rate,lambda_median,eig1_median
mixture,100,0.002,0.02,0.0,1.025725352125343,1.2336107038482795
mixture,100,0.004,0.04,0.0,1.0256259797393803,1.4129867591637109
mixture,100,0.006,0.08,1.0,1.0345472319859597,1.5980100227934546
mixture,100,0.008,0.1,1.0,1.0317919672582525,1.7855761108434698
mixture,100,0.01,0.26,1.0,1.0397326684819697,1.977842497990796
mixture,300,0.002,0.06,1.0,1.007249923070414,1.651995158062818
mixture,300,0.004,0.06,1.0,1.0123884502357137,2.2190235574854347
mixture,300,0.006,0.3,1.0,1.0178342109629237,2.8095351967133473
mixture,300,0.008,0.62,1.0,1.0269097459723007,3.4036324154444872
mixture,300,0.01,0.78,1.0,1.0357426938968795,3.983056607083351
mixture,600,0.002,0.02,1.0,1.004585930041915,2.2758804884991988
mixture,600,0.004,0.22,1.0,1.0113621132523087,3.448979075912282
mixture,600,0.006,0.5,1.0,1.022060356441862,4.625390419823697
mixture,600,0.008,0.9,1.0,1.0403421975131752,5.815939757656256
mixture,600,0.01,1.0,1.0,1.0597168665231878,6.992219881068321
mixture,1000,0.002,0.12,1.0,1.0060871785533845,3.1070782654189855
mixture,1000,0.004,0.48,1.0,1.0171490164770698,5.0628206210290525
mixture,1000,0.006,1.0,1.0,1.0372787648956772,7.050945968327975
mixture,1000,0.008,1.0,1.0,1.0662173728773063,9.027561834453165
mixture,1000,0.01,1.0,1.0,1.1066527482620045,10.998505218299321
