N,replicate,lambda_emp,lambda_thr_perm97,detect_vs_one,detect_vs_perm
100,0,1.0459842440719325,1.0629836334648852,1,0
100,1,1.0448925992293074,1.058451621931658,1,0
100,2,0.9967526357463272,1.0606199214219223,0,0
100,3,1.0624338515352065,1.0596627341351899,1,1
100,4,1.0295697736573381,1.0668063640601182,1,0
100,5,1.0433623180936173,1.064517076296782,1,0
100,6,1.0261744589733655,1.0515955853535266,1,0
100,7,1.022714447490788,1.0616636930342185,1,0
100,8,1.0409842856775386,1.0474022572053978,1,0
100,9,1.0345314652042195,1.0491684371898096,1,0
100,10,1.0219954273570089,1.0592673642263168,1,0
100,11,1.0047663704386598,1.0565219173810576,1,0
100,12,0.9977735052765866,1.063497783911177,0,0
100,13,1.0379304594620125,1.057218153843553,1,0
100,14,1.002178155998968,1.05508036951179,1,0
100,15,1.0112272697801326,1.049890102103831,1,0
100,16,1.0328746693143704,1.0542939632289543,1,0
100,17,1.0181089598847446,1.0617611468937798,1,0
100,18,1.0178717127778867,1.0629035249998344,1,0
100,19,1.0562305590138554,1.0570806864590967,1,0
100,20,1.0477932503056229,1.0562289973534873,1,0
100,21,1.0057082141026445,1.0535848008580724,1,0
100,22,1.017885046669985,1.0599361103504579,1,0
100,23,1.0315607475847024,1.051582077229535,1,0
100,24,1.0669015332552363,1.0562312627989365,1,1
100,25,1.0144992975426081,1.048486780657187,1,0
100,26,1.0371955128992016,1.0503448060167226,1,0
100,27,1.0463989722673506,1.0568907254107927,1,0
100,28,1.003841102776889,1.0541210812954682,1,0
100,29,1.0012448471335897,1.0574724242808928,1,0
100,30,1.0562051264793808,1.0580559214446172,1,0
100,31,0.9981116224183887,1.0524699368021215,0,0
100,32,1.0327316933452537,1.0595519735016392,1,0
100,33,1.043082399486901,1.053214207451228,1,0
100,34,1.0210223802939984,1.0561026728202698,1,0
100,35,1.0335135272298104,1.0606929065548159,1,0
100,36,1.0299930956231893,1.063304464281912,1,0
100,37,1.0201686858419965,1.0506399140670866,1,0
100,38,0.9839320263459301,1.0652846448817175,0,0
100,39,1.0366144447233958,1.0571970099827115,1,0
100,40,0.9950917284124877,1.0528673639956616,0,0
100,41,0.9973404851254443,1.0587921681392087,0,0
100,42,1.0189021941079173,1.0497746220131323,1,0
100,43,1.0310065865650304,1.05206069909321,1,0
100,44,1.0334384939109376,1.0441850601159528,1,0
100,45,1.0275019870307545,1.0530864002193487,1,0
100,46,1.0086476683011434,1.0627542010669675,1,0
100,47,1.0236267143025624,1.057779584319704,1,0
100,48,1.0512591358035335,1.0603796828783896,1,0
100,49,1.0472440259940645,1.0574730997317747,1,0
100,50,1.0414303577131523,1.0624053690785835,1,0
100,51,0.9981471646821691,1.0579389285735785,0,0
